Date,Weight AAPL.OQ,Weight MSFT.OQ,Weight GOOGL.OQ,Weight NVDA.OQ,Weight META.OQ,Weight V.N,Weight MA.N,Weight AVGO.OQ
2022-12-30,0.3098373483643614,0.2679833909170802,0.17163762133745522,0.053890192527074325,0.04730214666938955,0.06420817250050588,0.05011627743838181,0.035024850245751644
2022-12-29,0.3087652803039729,0.2690439076657859,0.1718924470896276,0.053795795909728085,0.04722344462212126,0.06423660601488511,0.0501352867603258,0.03490723163355342
2022-12-28,0.30861526800499434,0.2690949624617393,0.17177814465224686,0.053145766653257154,0.04666470158431994,0.06504976510122162,0.05060389395443516,0.03504749758778557
2022-12-27,0.31281589206701793,0.2671274004742139,0.171547016507511,0.05253237095557038,0.046348102988973336,0.06431724977760363,0.05033087070723405,0.0349810965218759
2022-12-23,0.31285507544152197,0.265421000723964,0.17277565143366244,0.055790650224420396,0.04616425685716189,0.06329113024384857,0.04927147959801979,0.034430755477401015
2022-12-22,0.3146765147342741,0.26561708644027965,0.1703762316870528,0.056447886290951786,0.045942213066158206,0.06324400003786015,0.04912050134011457,0.034575566403308715
2022-12-21,0.3143976289907604,0.2658599454422139,0.16976656118353142,0.059227966279768215,0.04582036607189621,0.06221223891696221,0.048495270360124215,0.03422002275474338
2022-12-20,0.31197394818071966,0.26718552872072227,0.17134021745843117,0.058653759429587275,0.0455118831164921,0.06275934240668975,0.04887666979158121,0.03369865089577659
2022-12-19,0.31301728441169047,0.2664413850880434,0.17079689371782178,0.05943678491451418,0.044622601462352945,0.06277043756685716,0.0487726611568453,0.03414195168187491
2022-12-16,0.31247553186567134,0.26636417592336276,0.17113084490115016,0.059528708975692346,0.04573212585341059,0.062288086088856026,0.04855667960488346,0.03392384678697314
2022-12-15,0.3136999862705106,0.26816172295143204,0.170190072121754,0.06024473458310164,0.043999483342509825,0.061924323457331204,0.04809323000339494,0.0336864472699658
2022-12-14,0.3162066378950118,0.2661340986109051,0.17099070289658957,0.06034604215324552,0.04425292795303146,0.06104263277860852,0.047708762015334846,0.03331819569727333
2022-12-13,0.3192244524092116,0.26419146058738163,0.17092380713435934,0.061326083937435626,0.043460328172669184,0.06058818028287975,0.04736806911225858,0.032917618363804274
2022-12-12,0.3218524218339828,0.26356984607229333,0.1693207237243602,0.060400573731085136,0.04211790731275233,0.061948745182472946,0.04821925683883309,0.032570525304220346
2022-12-09,0.3224831065511366,0.2608781202494598,0.17153853436042796,0.05963762292568631,0.043822160993730375,0.061355859862329984,0.04782507914772304,0.032459515909505944
2022-12-08,0.3220360469111401,0.26171617047802037,0.17232865065968878,0.059936863824870436,0.043396609780548906,0.06117736783733956,0.04791400059845867,0.031494289909933325
2022-12-07,0.3216027942626666,0.26129529269568924,0.17644216892456396,0.05688095602137964,0.04333157189218294,0.06145483152701489,0.047912924242711416,0.03107946043379129
2022-12-06,0.32299030026415987,0.25959944500504883,0.17861565399365925,0.05587404835371054,0.04299019588810778,0.06124115828912623,0.047471338450490744,0.03121785975569678
