Return(Lag)/Sentiment&Model,VADER Sentiment RF R2,VADER Sentiment GB R2,VADER Sentiment VM R2,FinBERT Sentiment RF R2,FinBERT Sentiment GB R2,FinBERT Sentiment VM R2,GPT Sentiment RF R2,GPT Sentiment GB R2,GPT Sentiment VM R2,VADER Sentiment RF MSE,VADER Sentiment GB MSE,VADER Sentiment VM MSE,FinBERT Sentiment RF MSE,FinBERT Sentiment GB MSE,FinBERT Sentiment VM MSE,GPT Sentiment RF MSE,GPT Sentiment GB MSE,GPT Sentiment VM MSE
Technology Lag 1/VADER Sentiment,0.8693412658689414,0.8962970182938297,0.9466737348331523,,,,,,,5.279661948421765e-05,4.1904331164172566e-05,2.154809281792431e-05,,,,,,
Financials Lag 1/VADER Sentiment,0.8911483865897907,0.909093688864618,0.9544620733120088,,,,,,,2.91059294487111e-05,2.430751915801044e-05,1.2176426604044596e-05,,,,,,
Energy Lag 1/VADER Sentiment,0.8559983115302852,0.9258487565964327,0.9638911147177833,,,,,,,5.3197666549858696e-05,2.7393242140143308e-05,1.3339485523702393e-05,,,,,,
Technology Lag 1/FinBERT Sentiment,,,,0.8570834428777928,0.8734883440507277,0.9535398624126815,,,,,,,5.774976418191092e-05,5.112086692017206e-05,1.877362597835678e-05,,,
Financials Lag 1/FinBERT Sentiment,,,,0.8963241836963106,0.9134945179933207,0.9474834590117452,,,,,,,2.772196847005754e-05,2.3130777554253582e-05,1.4042444471026326e-05,,,
Energy Lag 1/FinBERT Sentiment,,,,0.8547606202985587,0.8968584919730034,0.9629799295756055,,,,,,,5.365489928189652e-05,3.810293899868884e-05,1.3676099100069951e-05,,,
Technology Lag 1/GPT Sentiment,,,,,,,0.865184840059074,0.8856038883806174,0.9607248428187899,,,,,,,5.447614924055092e-05,4.622521422551377e-05,1.587031699541222e-05
Financials Lag 1/GPT Sentiment,,,,,,,0.8951425203684104,0.9138691504170775,0.9544635890154956,,,,,,,2.8037934475305272e-05,2.303060425820904e-05,1.2176021318745023e-05
Energy Lag 1/GPT Sentiment,,,,,,,0.8644676319389293,0.9220460489838338,0.9718477132115395,,,,,,,5.006889710423015e-05,2.879805324834216e-05,1.0400127811719955e-05
