Return(Lag)/Sentiment&Model,VADER Sentiment RF R2,VADER Sentiment GB R2,VADER Sentiment VM R2,FinBERT Sentiment RF R2,FinBERT Sentiment GB R2,FinBERT Sentiment VM R2,GPT Sentiment RF R2,GPT Sentiment GB R2,GPT Sentiment VM R2,VADER Sentiment RF MSE,VADER Sentiment GB MSE,VADER Sentiment VM MSE,FinBERT Sentiment RF MSE,FinBERT Sentiment GB MSE,FinBERT Sentiment VM MSE,GPT Sentiment RF MSE,GPT Sentiment GB MSE,GPT Sentiment VM MSE
Technology Lag 2,0.8573052825054277,0.8945554676233308,0.9303914111282645,0.8535835143578292,0.8766976714858467,0.9409229553575682,0.8605155745140349,0.8866687492805189,0.9425919268495142,5.7660123160324035e-05,4.260805746822956e-05,2.8127458940540644e-05,5.9164016321420626e-05,4.982404095198019e-05,2.3871869469590884e-05,5.636290742699499e-05,4.5794924921782083e-05,2.3197470981221212e-05
Financials Lag 2,0.8903932996509862,0.9205076798513097,0.9538178294555021,0.89073280191458,0.9148498736329256,0.9556782580194207,0.890463448734603,0.9238131741934289,0.955982419254263,2.930783281495396e-05,2.125552198517191e-05,1.2348691540206698e-05,2.9217053003591863e-05,2.276836780773387e-05,1.1851229896512704e-05,2.9289075589271435e-05,2.0371662921436507e-05,1.1769899954171972e-05
Energy Lag 2,0.8617804556045245,0.9159666693172199,0.9607805380192627,0.8614173582710462,0.9110917456599287,0.9583653047568881,0.8705469617673814,0.9174654652276675,0.9591956570461191,5.1061604287857374e-05,3.1043921444551046e-05,1.4488606924598065e-05,5.119574112386807e-05,3.284483479447429e-05,1.538085183573292e-05,4.782304731942972e-05,3.0490230401636332e-05,1.5074099847816387e-05
