Date;Technology Return;Financials Return;Energy Return;Technology Portfolio;Financials Portfolio;Energy Portfolio;Technology Return Weekly
03.01.22;0.010215896;0.032202658;0.035932539;101.0215896;103.2202658;103.5932539;
04.01.22;-0.007293553;0.034097746;0.036151316;100.2847833;106.7398442;107.3382863;
05.01.22;-0.033188758;-0.018936239;0.001730993;96.95645588;104.718593;107.5240881;
06.01.22;-0.002345825;0.014998896;0.021112392;96.72901305;106.2892563;109.7941788;
07.01.22;-0.00356803;0.012067888;0.014261732;96.38388105;107.5719431;111.360034;
08.01.22;-0.00356803;0.012067888;0.014261732;96.38388105;107.5719431;111.360034;
09.01.22;-0.00356803;0.012067888;0.014261732;96.38388105;107.5719431;111.360034;-0.006188047
10.01.22;-0.001386732;0.000476507;-0.003079967;96.25022243;107.6232019;111.0170487;-0.007845565
11.01.22;0.010880188;0.010177258;0.036920155;97.2974429;108.7185111;115.1158154;-0.005249317
12.01.22;0.00562474;-0.002077692;-0.000905866;97.84471572;108.4926275;115.0115359;0.000295469
13.01.22;-0.022266979;-0.005532378;-0.007422595;95.66600949;107.8924053;114.1578518;-0.00255041
14.01.22;0.008952935;-0.016913606;0.023498042;96.52250102;106.0675557;116.8403378;-0.000761701
15.01.22;0.008952935;-0.016913606;0.023498042;96.52250102;106.0675557;116.8403378;0.001027008
16.01.22;0.008952935;-0.016913606;0.023498042;96.52250102;106.0675557;116.8403378;0.002815717
17.01.22;0.008952935;-0.016913606;0.023498042;96.52250102;106.0675557;116.8403378;0.004292812
18.01.22;-0.023152921;-0.033784427;0.00865475;94.28772322;102.4841241;117.8515616;-0.00056906
19.01.22;-0.007905328;-0.01238464;-0.003081904;93.54234783;101.2148951;117.4883545;-0.002501927
20.01.22;-0.009219959;-0.00528011;-0.003992419;92.67989126;100.6804693;117.0192918;-0.000638067
21.01.22;-0.02410135;-0.019169562;-0.017497987;90.44618075;98.75046886;114.9716897;-0.005360108
22.01.22;-0.02410135;-0.019169562;-0.017497987;90.44618075;98.75046886;114.9716897;-0.010082148
23.01.22;-0.02410135;-0.019169562;-0.017497987;90.44618075;98.75046886;114.9716897;-0.014804189
24.01.22;0.000572378;-0.00512;0.005742387;90.4979502;98.24486644;115.6319017;-0.016001411
25.01.22;-0.021249329;0.015074646;0.040404492;88.57492945;99.72587306;120.3039499;-0.01572947
26.01.22;0.010559624;0.008938287;0.000437743;89.51024737;100.6172515;120.3566122;-0.013091619
27.01.22;0.000613776;-0.007466958;0.009626285;89.5651866;99.86594674;121.5151992;-0.0116868
28.01.22;0.04922256;0.012851664;-0.0056816;93.9738144;101.1493904;120.8247984;-0.001211956
29.01.22;0.04922256;0.012851664;-0.0056816;93.9738144;101.1493904;120.8247984;0.009262888
30.01.22;0.04922256;0.012851664;-0.0056816;93.9738144;101.1493904;120.8247984;0.019737733
