Date,VADER Sentiment,FinBERT Sentiment,GPT Sentiment
2022-06-17,29.0,40.0,9.0
2022-06-18,7.0,32.0,5.0
2022-06-19,10.0,30.0,6.0
2022-06-20,14.0,28.0,4.0
2022-06-21,13.0,44.0,-8.0
2022-06-22,26.0,48.0,4.0
2022-06-23,11.0,49.0,-3.0
2022-06-24,10.0,31.0,5.0
2022-06-25,5.0,11.0,3.0
2022-06-26,1.0,23.0,3.0
2022-06-27,5.0,27.0,4.0
2022-06-28,10.0,24.0,1.0
2022-06-29,19.0,42.0,1.0
2022-06-30,11.0,43.0,5.0
2022-07-01,2.0,35.0,-9.0
2022-07-02,-1.0,15.0,4.0
2022-07-03,3.0,28.0,0.0
2022-07-04,4.0,19.0,4.0
2022-07-05,6.0,27.0,0.0
2022-07-06,0.0,24.0,5.0
2022-07-07,14.0,38.0,5.0
2022-07-08,21.0,46.0,-1.0
2022-07-09,7.0,21.0,5.0
2022-07-10,6.0,22.0,0.0
2022-07-11,5.0,30.0,2.0
2022-07-12,-3.0,27.0,1.0
2022-07-13,11.0,31.0,1.0
2022-07-14,12.0,45.0,-2.0
2022-07-15,13.0,40.0,7.0
2022-07-16,20.0,48.0,6.0
2022-07-17,-4.0,36.0,9.0
2022-07-18,13.0,53.0,9.0
2022-07-19,14.0,54.0,3.0
2022-07-20,25.0,63.0,9.0
2022-07-21,22.0,64.0,-2.0
2022-07-22,9.0,51.0,-5.0
2022-07-23,11.0,33.0,5.0
2022-07-24,13.0,29.0,-5.0
2022-07-25,13.0,66.0,7.0
2022-07-26,16.0,75.0,3.0
2022-07-27,15.0,96.0,-28.0
2022-07-28,0.0,101.0,9.0
2022-07-29,8.0,67.0,7.0
2022-07-30,11.0,40.0,10.0
2022-07-31,15.0,26.0,4.0
2022-08-01,7.0,38.0,-1.0
2022-08-02,10.0,74.0,-2.0
2022-08-03,13.0,49.0,6.0
2022-08-04,-2.0,34.0,-4.0
2022-08-05,14.0,44.0,8.0
2022-08-06,9.0,22.0,-1.0
2022-08-07,20.0,48.0,14.0
2022-08-08,6.0,36.0,-13.0
2022-08-09,14.0,49.0,7.0
2022-08-10,9.0,45.0,4.0
2022-08-11,5.0,42.0,7.0
2022-08-12,14.0,54.0,-3.0
2022-08-13,21.0,72.0,19.0
2022-08-14,8.0,25.0,2.0
2022-08-15,13.0,36.0,7.0
2022-08-16,19.0,40.0,9.0
2022-08-17,6.0,61.0,-1.0
2022-08-18,3.0,42.0,1.0
2022-08-19,22.0,45.0,11.0
2022-08-20,11.0,25.0,3.0
2022-08-21,6.0,33.0,5.0
2022-08-22,6.0,37.0,7.0
2022-08-23,14.0,43.0,7.0
2022-08-24,17.0,68.0,1.0
2022-08-25,12.0,36.0,3.0
2022-08-26,2.0,46.0,-9.0
2022-08-27,14.0,30.0,3.0
2022-08-28,13.0,22.0,1.0
2022-08-29,6.0,36.0,3.0
2022-08-30,19.0,41.0,14.0
2022-08-31,12.0,63.0,-19.0
2022-09-01,-1.0,105.0,-24.0
2022-09-02,26.0,54.0,15.0
2022-09-03,4.0,32.0,0.0
2022-09-04,3.0,22.0,1.0
2022-09-05,10.0,32.0,4.0
2022-09-06,12.0,40.0,4.0
2022-09-07,16.0,59.0,2.0
2022-09-08,15.0,50.0,-2.0
2022-09-09,12.0,38.0,8.0
2022-09-10,16.0,30.0,1.0
2022-09-11,15.0,31.0,3.0
2022-09-12,10.0,37.0,12.0
2022-09-13,15.0,34.0,-3.0
2022-09-14,11.0,40.0,2.0
2022-09-15,26.0,52.0,-3.0
2022-09-16,17.0,50.0,-6.0
2022-09-17,54.0,204.0,51.0
2022-09-18,10.0,27.0,2.0
2022-09-19,3.0,32.0,1.0
2022-09-20,13.0,48.0,-6.0
2022-09-21,16.0,55.0,-7.0
2022-09-22,18.0,58.0,7.0
2022-09-23,6.0,44.0,-11.0
2022-09-24,-3.0,23.0,-2.0
2022-09-25,14.0,25.0,4.0
2022-09-26,13.0,78.0,9.0
2022-09-27,13.0,52.0,9.0
2022-09-28,12.0,67.0,-14.0
2022-09-29,14.0,46.0,-9.0
2022-09-30,18.0,46.0,-6.0
2022-10-01,11.0,22.0,1.0
2022-10-02,13.0,27.0,4.0
2022-10-03,19.0,44.0,5.0
2022-10-04,18.0,42.0,1.0
2022-10-05,2.0,16.0,3.0
2022-10-06,9.0,23.0,0.0
2022-10-07,12.0,43.0,-1.0
2022-10-08,12.0,21.0,5.0
2022-10-09,11.0,15.0,-3.0
2022-10-10,4.0,42.0,1.0
