Date,JPM.N,BAC.N,WFC.N,MS.N,AXP.N,BX.N,GS.N,BLK.N
2015-01-05,-0.031044967194751236,-0.02905027932960892,-0.027422303473491772,-0.03125807284939294,-0.026445925607396194,-0.014639976097998266,-0.03122267373077513,-0.025873910240237764
2015-01-06,-0.025928984310487208,-0.029919447640966605,-0.020864661654135325,-0.028799999999999954,-0.021311837455830464,-0.0194057004244995,-0.02022937241159606,-0.015539568345323676
2015-01-07,0.0015259409969481759,0.0047449584816133955,0.005951238241504994,0.01427786930258089,0.01884237842716915,0.014223871366728315,0.0149027258440362,0.02116340251388469
2015-01-08,0.022346368715083803,0.02066115702479326,0.02213740458015274,0.014889009204114897,0.014174972314507211,0.00792682926829284,0.015965399401965022,0.011679166428121718
2015-01-09,-0.017386984600099308,-0.017929438982070486,-0.01643017176997764,-0.016271005601493714,-0.012666521074470371,0.014821536600120836,-0.01534661270825677,-0.011855582592948893
2015-01-12,-0.008594539939332745,-0.01766784452296824,-0.01195899772209572,-0.013828633405640051,-0.01017474010174742,0.004172876304023862,-0.012169735788630912,-0.006585917590126882
2015-01-13,0.0001699813020568607,-0.013788968824940073,-0.003842459173871196,-0.009348364036293548,-0.0030167597765362684,-0.00801424755120202,-0.0007564705246662687,0.003026547142074803
2015-01-14,-0.03450033990482666,-0.02492401215805472,-0.011571841851494723,-0.02275881210102693,-0.024207105233665926,-0.0038898862956314346,-0.02541502190017854,-0.00640841427668262
2015-01-15,-0.032036613272311214,-0.05236907730673316,-0.010341463414634168,-0.01789264413518894,-0.013667164350522542,-0.01411835386001799,-0.009654330577595188,-0.009544468546637777
2015-01-16,0.01709401709401705,0.011842105263157994,0.018138801261829686,0.008964719491035347,0.001863064741499893,0.006093845216331592,-0.0070592190038658706,0.016411154913126016
2015-01-20,-0.003933488288932574,-0.0078023407022107276,0.006971340046475589,-0.004012611063341948,0.014179451417945127,0.008176862507571048,-0.009027816961011084,-0.004252018272186682
2015-01-21,0.0032310177705977333,0.009829619921363063,0.0019230769230769505,-0.0005755395683454137,0.004698601879440712,0.02222889756683695,0.008654557877355864,0.008396087596295407
2015-01-22,0.030416890320272012,0.04412719013627513,0.032053742802303296,0.023034840195796265,-0.03764115432873272,0.029091977666764676,0.02760372565622346,0.032303290414878456
2015-01-23,-0.015801354401805932,-0.022374145431945273,-0.009484842849172495,-0.010695187165775473,-0.0028446130141046473,0.009708737864077563,-0.008514612173148665,-0.01571551317941189
2015-01-26,0.001587861679604859,0.007628734901462124,0.006008261359369138,-0.0011379800853484822,-0.009865684060382721,0.010746606334841702,-0.00038783312094864864,0.0063922054516782545
2015-01-27,-0.01004051435617404,-0.013880126182965228,-0.011384845091452024,-0.012816861293078977,-0.010804321728691375,0.003637381085618227,-0.02178250748254062,-0.0165365567027616
2015-01-28,-0.02580071174377229,-0.027511196417146607,-0.015291674532754432,-0.025678015002884986,-0.008131067961165068,0.004460551993309275,-0.019491189302510044,-0.018350973028337447
2015-01-29,0.01680365296803656,0.015131578947368449,0.011503067484662604,0.017767249037607173,0.003303560504098813,0.003330557868442893,0.016989309448136362,0.005535750514448092
2015-01-30,-0.023172265133824307,-0.01814646791963703,-0.01592115238817279,-0.01629327902240312,-0.01597560975609759,0.013001383125864423,-0.02034206489005064,-0.018533463999538844
2015-02-02,0.020044133872747266,0.020462046204620495,0.01714175654853622,0.018041999408459016,0.01784607758086501,-0.0019115237575095655,0.01786439301664644,0.020939179466094963
2015-02-03,0.022534703443302686,0.02781371280724448,0.012118916871804592,0.018012783265543213,0.019481310118105548,0.015868673050615744,0.027067069348680837,0.015274421815671391
2015-02-04,-0.005994358251057763,-0.006293266205160568,-0.007857811038353634,-0.007705479452054681,-0.001433178072375547,-0.017506059789927433,-0.00810031069684869,-0.006148179628842658
2015-02-05,0.006917346576800294,0.01139962001266634,0.012068640392230823,0.004601668104687851,0.013395526850855216,-0.02467105263157891,0.011130998993176022,0.022920348936655514
2015-02-06,0.019728729963008586,0.0325610519724482,0.014533258803801026,0.02462066991125106,0.003304614658326462,-0.005621135469364692,0.014714831000719126,0.010060754695947867
2015-02-09,-0.0012091898428053254,-0.008489993935718438,-0.0044077134986226256,-0.004470522492316194,-0.00035289965886367645,0.005935556811758079,-0.006596521833942146,-0.004304279447065646
2015-02-10,0.01106883431338638,0.004281345565749253,0.006640841173215263,0.014875105248386023,0.010120028241939272,0.011239112110143258,0.012841620019756358,0.027156593787236432
2015-02-11,-0.0015395141977421042,-0.003654080389768713,-0.012277808319589549,0.005807522123893829,0.0019804287045666552,-0.0063906640733538194,0.016742522756827066,-0.0020773194485662143
2015-02-12,0.020558506081891432,0.018948655256723856,0.01781076066790354,0.014572449821281308,-0.06429484943611209,0.012304250559284252,0.011350919264588305,0.013463098134631032
