Date,XOM.N,CVX,COP.N,SLB.N,EOG.N,EPD.N,OXY.N,MPC.N
2015-01-05,-0.02736184423139063,-0.03997157576834251,-0.04759141033081835,-0.02708065834014249,-0.06021377672209035,-0.06597882161281564,-0.037087571322252655,-0.02771715408118732
2015-01-06,-0.005316203344777982,-0.0004626202812731047,-0.04128580134064596,-0.0195560887822435,-0.02856059648679377,-0.023546511627906837,-0.008501867834599983,-0.009876543209876493
2015-01-07,0.01013250194855803,-0.0008331019161344386,0.006674082313681896,-0.00012236906510040523,-0.006244308572915363,0.012801428996725206,0.00012992074834357691,0.008161414645205155
2015-01-08,0.016644620811287536,0.022883083194367233,0.024940805051302372,0.012116020070982857,0.03822489854693025,0.012345679012345519,0.008833463237204372,0.02361142343152697
2015-01-09,-0.0014095196790633163,-0.019925731364912627,-0.00015401201293708787,-0.01789600967351879,0.00668263775059893,-0.003484320557491215,-0.0019314962657737765,-0.027899824253075637
2015-01-12,-0.019218241042345235,-0.021532205895943058,-0.028496611213801624,-0.039029795616843166,-0.033817635270541116,-0.047494172494172565,-0.03341504322022969,-0.03480225988700563
2015-01-13,-0.003653271338425753,-0.015867019267094756,-0.009988901220865746,-0.0034593209481101348,0.006611355976147331,-0.02569593147751595,0.0002669514148424455,-0.05338328260360574
2015-01-14,-0.0028888888888889456,-0.002879078694817631,0.0028827674567584835,0.007842633067626632,0.03142305215711523,0.01883830455259031,0.006805444355484456,-0.039821914419985144
2015-01-15,-0.008691776242478284,-0.011838306063522656,-0.019322900031938692,-0.022451843347365802,-0.013734548632788219,0.013559322033898234,0.006759443339960118,-0.010303967027305476
2015-01-16,0.02428057553956847,0.023862861595402775,0.027194268034522094,0.061333681325851534,0.04367641473604258,0.04530252356339319,0.027251184834123324,0.009370119729307637
2015-01-20,-0.00032923617208078506,0.012842465753424603,0.0017438173747621978,-0.010451248001967225,-0.010917030567685487,-0.004363001745200863,-0.0006407791874919538,0.036874677668901484
2015-01-21,0.00856295971017676,0.01587301587301585,0.02136413989555323,0.02149602385685872,0.013612950699043407,0.042944785276073795,0.015773275198768782,0.006714747575229943
