Date,Portfolio Return,Portfolio Value
2015-01-05,-0.019201705503155402,100.0
2015-01-06,-0.012600097048123654,98.73999029518762
2015-01-07,0.00859176337975017,99.5883409279227
2015-01-08,0.028455435774541758,102.42217056709036
2015-01-09,-0.004477776452030203,101.96354698355923
2015-01-12,-0.015171045415872234,100.41665338150823
2015-01-13,0.002448235351187131,100.66249698216475
2015-01-14,-0.0024615501624861615,100.41471119636205
2015-01-15,-0.015585803663243615,98.84966722275425
2015-01-16,0.00890950019021556,99.73036835167812
2015-01-20,0.010497678931092462,100.77730573831363
2015-01-21,0.004917401451046336,101.27286820778374
2015-01-22,0.022279804288213804,103.52920789115923
2015-01-23,0.00451704374100342,103.99685385167503
2015-01-26,-0.0037733711726058534,103.60443512130941
2015-01-27,-0.04710713683718996,98.72392681911012
2015-01-28,0.0026710967326373718,98.98762797746977
2015-01-29,0.019581614245262786,100.92596552357816
2015-01-30,-0.010766102816116094,99.83938620193553
2015-02-02,0.0093853835832173,100.77641713815368
2015-02-03,0.006659575895838955,101.44754533659594
2015-02-04,0.0035739704834495878,101.81011586924735
2015-02-05,0.009833262233720965,102.81124143663517
2015-02-06,-0.004895201750981117,102.307959667534
2015-02-09,-0.0007703102393585598,102.22915079863422
2015-02-10,0.014910708080301122,103.75345982348973
2015-02-11,0.0061060291603167935,104.38698147465571
2015-02-12,0.01938950433088775,106.41099330404685
2015-02-13,0.006953405416857666,107.15091208130042
2015-02-17,-0.0011776139666939685,107.02472967068948
2015-02-18,0.0006601134849168342,107.09537813796469
2015-02-19,0.0038219455153730374,107.50469083815625
2015-02-20,0.005994023021809936,108.1490764299927
2015-02-23,0.006784782709924659,108.88284441384923
2015-02-24,-0.0008562437283173328,108.78961416119851
2015-02-25,-0.0048399635312851375,108.26307639607573
2015-02-26,0.012342037927031362,109.5992633910532
2015-02-27,-0.007877472723016454,108.73589818322749
2015-03-02,0.010152589435576733,109.83984911439047
2015-03-03,-0.0047105739318490485,109.32244038447399
2015-03-04,-0.0010161930341261692,109.21134768208162
2015-03-05,-0.0013552211858694672,109.06334214996551
2015-03-06,-0.010962788829479285,107.86770376093818
2015-03-09,0.0047486593339652,108.37993073923596
2015-03-10,-0.018385861798340456,106.38727231095066
2015-03-11,-0.008611474690534068,105.47112100804996
2015-03-12,0.0045463960170318,105.95063449251283
2015-03-13,-0.004808468843954151,105.44117416755842
2015-03-16,0.010420845768277471,106.53996038118463
2015-03-17,0.005453105480602986,107.1209340230425
2015-03-18,0.012277417377205084,108.43610243987943
2015-03-19,-0.0013989961496631538,108.28440075008157
2015-03-20,0.003166871438632583,108.62732352606645
2015-03-23,0.000853697650754802,108.72005841696843
2015-03-24,0.0018780545701763058,108.92424061954824
2015-03-25,-0.030376280633946134,105.61552731864937
2015-03-26,-0.00044721664816812384,105.56829429652741
2015-03-27,-0.0032185609805804984,105.22851630371817
2015-03-30,0.009848552601601347,106.26486488172381
2015-03-31,-0.012947318659197349,104.8890198138236
2015-04-01,-0.0021679934162898403,104.66162110942614
2015-04-02,-0.001997494527244528,104.45256009404751
2015-04-06,0.01712587863724036,106.24140196156722
2015-04-07,-0.001814858580507016,106.04858884161217
2015-04-08,0.0016198089302592593,106.22036729285921
2015-04-09,0.004110952532923069,106.6570341808298
2015-04-10,0.0033532482322047225,107.01468169214887
2015-04-13,-0.0015029454588446564,106.85384446226995
2015-04-14,-0.004920220366126836,106.32810000054774
2015-04-15,0.006302031850946907,106.99818307340185
2015-04-16,-0.0026520666809050405,106.7144167571555
2015-04-17,-0.014815994356192236,105.13333656075714
2015-04-20,0.020656333291268997,107.3050058007793
2015-04-21,-0.002674602257885748,107.01800758998209
2015-04-22,0.015189528109920785,108.64356062453784
2015-04-23,0.0035026463531400726,109.02410059595152
2015-04-24,0.02943333871056947,112.23304387640735
2015-04-27,0.004763993983546593,112.76772142218968
2015-04-28,-0.0009456467736254645,112.66108299025768
2015-04-29,-0.006313141293264119,111.94983765508803
2015-04-30,-0.016614868364699817,110.08980583899923
2015-05-01,0.014459700757989824,111.68167148793636
2015-05-04,-0.0037301008389454492,111.26508759142438
2015-05-05,-0.017065055125692653,109.3663427381117
2015-05-06,-0.010925467801601656,108.17146428194754
2015-05-07,0.009761545869652402,109.22738499232324
2015-05-08,0.011560874846269156,110.49014912000474
2015-05-11,-0.00831856759111609,109.5710293463975
2015-05-12,-0.00318045252788435,109.22254388912985
2015-05-13,0.003214258168714762,109.57361334303329
2015-05-14,0.0223458304687617,112.02212673064635
2015-05-15,-0.004488248184863333,111.51934362368299
2015-05-18,0.0031767919186980885,111.87361737328521
2015-05-19,-0.002515983609256243,111.59214518566583
2015-05-20,0.00021831340308109263,111.61650724663843
2015-05-21,0.002522461095319152,111.89805554376349
2015-05-22,0.0002467771016708935,111.9256694215932
2015-05-26,-0.013829257234655088,110.37782054800101
2015-05-27,0.02187549802040754,112.7923903428957
2015-05-28,-0.0003312899066043474,112.75502336243332
2015-05-29,-0.01001456259267214,111.62583112333202
2015-06-01,0.005647466060649531,112.25623421609284
2015-06-02,-0.003050493930083655,111.9137972550026
2015-06-03,0.0008994919416699327,112.01446281379515
2015-06-04,-0.00633902685134619,111.30440012627938
2015-06-05,-0.002101824572589802,111.0704578030566
2015-06-08,-0.010948950668713969,109.85435283981946
2015-06-09,-0.0005865691289749535,109.7899156677601
2015-06-10,0.015186390825790817,111.45722823582132
2015-06-11,-0.0019039082620387812,111.2450238981192
2015-06-12,-0.009836717133469189,110.15073806552738
2015-06-15,-0.005665661207763342,109.52666130186302
2015-06-16,0.005704483871589805,110.15145437476858
2015-06-17,0.0015275943810459987,110.31972111753552
2015-06-18,0.012414034100121069,111.68923389740446
2015-06-19,-0.007989420641808478,110.79690162663675
2015-06-22,0.005663631421664018,111.42441444011239
2015-06-23,-0.0013762142009568154,111.2710705786266
2015-06-24,-0.0014744311778096787,111.10700904297723
2015-06-25,-0.0026550084848605475,110.81201899124065
2015-06-26,-0.007507958821398871,109.98004691573834
2015-06-29,-0.02109832652701396,107.65965197445378
2015-06-30,0.0017816337203702226,107.85146204073479
2015-07-01,0.009033114305228448,108.82569662533476
2015-07-02,0.00166724049482888,109.00713523362647
2015-07-06,-0.003132998809863709,108.66561600867287
2015-07-07,-0.002095675357475746,108.43788815499857
2015-07-08,-0.014942702493840226,106.81753305323811
2015-07-09,-0.004625270551682655,106.32347306320358
2015-07-10,0.01826395306989998,108.26535998545872
2015-07-13,0.019181718983718985,110.34207569637096
2015-07-14,0.004994079934426614,110.89313284252918
2015-07-15,0.003298970232479513,111.25896598676309
2015-07-16,0.018021741439733098,113.26404630462858
2015-07-17,0.03194178503919731,116.88190212436074
2015-07-20,0.008687677857857625,117.89733443743084
2015-07-21,-0.0009263179546513489,117.78812401973592
2015-07-22,-0.02628321557122212,114.69227336439535
2015-07-23,-0.0023996151076494487,114.41705605249949
2015-07-24,-0.0055378826943720035,113.78342781784535
2015-07-27,-0.010997607986603656,112.53208228333267
2015-07-28,0.00573575364343592,113.17753858429273
2015-07-29,0.008194984017170387,114.1050267040937
2015-07-30,0.002803029631317736,114.42486647502759
2015-07-31,-0.00832150142022114,113.47267978614703
2015-08-03,-0.003562391521610867,113.06844567374239
2015-08-04,-0.008213585399850813,112.13974833917271
2015-08-05,0.007865140757155838,113.02174324433236
2015-08-06,-0.00983243084446017,111.91046476996212
2015-08-07,0.007596181465399721,112.76055696823198
2015-08-10,0.018399690409529657,114.83531630685357
2015-08-11,-0.017706095439980307,112.8020312364441
2015-08-12,0.008079350733429806,113.71339841024663
2015-08-13,-0.0022766359418482326,113.45451440035615
2015-08-14,0.005049764658727707,114.02743299754819
2015-08-17,0.006827796472507982,114.805989102338
2015-08-18,-0.0045428390071397895,114.28444397679064
2015-08-19,-0.007484213157713087,113.42911483745762
2015-08-20,-0.02285299926322262,110.8369193596492
2015-08-21,-0.052961337946201045,104.96684781652698
2015-08-24,-0.031736138530126655,101.63560539315095
